page,section,new_page,start,end
731,245,294,converging below,Melissodes s. str.)
734,246,295,Key to,(Epimelissodes)
736,247,296,Key to,(Thygatina)
738,248,297,Key to,(T etraloniella s. str.)
739,249,298,Key to,(Nectarodiaeta)
739,250,298,Key to,(Nectarodiaeta)
740,251,299,Key to,(Trichocerapis s. str.)
740,252,299,Key to,(Trichocerapis s. str.)
741,253,300,Key to,(Xenoglossa s. str.)
742,254,301,Key to,as gono-
743,254,302,coxite (Fig.,Habropoda
745,255,303,Key to,from gono-
746,255,304,coxite;,(Dasymegilla)
746,256,304,Key to,apical lobes
747,256,305,(Fig. 113-4a-c);,(Mystacanthophora)(in part)
751,257,306,Key to,(Pachymelus s. str.)
754,258,307,Key to,Centris
755,259,308,Key to,basitibial plate
756,259,309,and distad,(Paracentris)
760,260,310,Key to,(Epicharitides)
762,261,311,Key to,Nanorhathymus
763,262,312,Key to,Mesocheira
764,262,313,—. Scutellum,Hopliphora
768,263,314,Key to,(Eumelissa)
771,264,315,Key to,Melecta
771,265,315,Key to,than distance
772,265,316,from its,Thyreomelecta
772,266,316,Key to,(Afromelecta s. str.)
773,267,317,Key to,(Melecta s. str.)
776,268,318,Key to,(Melectomorpha)
782,269,319,Key to,Eulaema
791,270,320,Key to,then lateral ocellus
792,270,321,much closer,...... 22
